,Hold .,Hold t,Hold i,Hold e,Hold Shift,Hold 5,Hold Shift,Hold Caps,Hold r,Hold o,Hold a,Hold n,Hold l,Hold Enter,DD ..t,DD t.i,DD i.e,DD e.Shift,DD Shift.5,DD 5.Shift,DD Shift.Caps,DD Caps.r,DD r.o,DD o.a,DD a.n,DD n.l,DD l.Enter,UD ..t,UD t.i,UD i.e,UD e.Shift,UD Shift.5,UD 5.Shift,UD Shift.Caps,UD Caps.r,UD r.o,UD o.a,UD a.n,UD n.l,UD l.Enter,Pressure .,Pressure t,Pressure i,Pressure e,Pressure Shift,Pressure 5,Pressure Shift,Pressure Caps,Pressure r,Pressure o,Pressure a,Pressure n,Pressure l,Pressure Enter,Size .,Size t,Size i,Size e,Size Shift,Size 5,Size Shift,Size Caps,Size r,Size o,Size a,Size n,Size l,Size Enter,AvH,AvP,AvA
476,92.0,83.0,102.0,92.0,99.0,92.0,110.0,62.0,86.0,100.0,91.0,109.0,109.0,83.0,459.0,301.0,290.0,353.0,470.0,305.0,423.0,570.0,446.0,277.0,300.0,228.0,457.0,367.0,218.0,188.0,261.0,371.0,213.0,313.0,508.0,360.0,177.0,209.0,119.0,348.0,0.139200001955032,0.244800016283988,0.302400022745132,0.153600007295608,0.302400022745132,0.302400022745132,0.302400022745132,0.201600015163421,0.172800004482269,0.302400022745132,0.504000008106231,0.168000012636184,0.144000008702278,0.302400022745132,0.290322571992874,0.419354826211929,0.419354826211929,0.322580635547637,0.51612901687622,0.451612889766693,0.612903237342834,0.38709676265716497,0.25806450843811,0.483870953321456,0.322580635547637,0.322580635547637,0.322580635547637,0.483870953321456,93.57142857142857,0.25302858650684307,0.40092164916651524
877,79.0,74.0,84.0,83.0,102.0,64.0,69.0,70.0,73.0,75.0,84.0,82.0,73.0,81.0,560.0,330.0,430.0,256.0,740.0,335.0,451.0,354.0,390.0,405.0,563.0,261.0,399.0,481.0,256.0,346.0,173.0,638.0,271.0,382.0,284.0,317.0,330.0,479.0,179.0,326.0,0.115200005471706,0.254400014877319,0.120000004768371,0.148800000548362,0.0912000015377998,0.0768000036478042,0.0912000015377998,0.0912000015377998,0.096000000834465,0.0816000029444694,0.0768000036478042,0.10080000758171,0.0672000050544738,0.10080000758171,0.354838699102401,0.290322571992874,0.322580635547637,0.354838699102401,0.25806450843811,0.225806444883346,0.25806450843811,0.25806450843811,0.290322571992874,0.225806444883346,0.193548381328582,0.290322571992874,0.225806444883346,0.290322571992874,78.07142857142857,0.10800000439797101,0.27419354021549186
943,129.0,134.0,112.0,99.0,132.0,112.0,108.0,132.0,126.0,97.0,125.0,119.0,138.0,133.0,879.0,589.0,623.0,744.0,819.0,839.0,1274.0,660.0,751.0,660.0,756.0,430.0,824.0,750.0,455.0,511.0,645.0,687.0,727.0,1166.0,528.0,625.0,563.0,631.0,311.0,686.0,0.820800065994262,0.393600016832351,0.408000022172927,0.124800004065036,0.0864000022411346,0.105600006878376,0.105600006878376,0.105600006878376,0.10080000758171,0.096000000834465,0.441600024700164,0.120000004768371,0.139200001955032,0.110400006175041,0.483870953321456,0.322580635547637,0.322580635547637,0.354838699102401,0.193548381328582,0.290322571992874,0.290322571992874,0.290322571992874,0.25806450843811,0.25806450843811,0.354838699102401,0.290322571992874,0.354838699102401,0.354838699102401,121.14285714285714,0.22560001271111582,0.3156681933573308
2593,120.0,109.0,96.0,140.0,113.0,87.0,135.0,107.0,84.0,92.0,140.0,93.0,95.0,81.0,622.0,378.0,535.0,1297.0,588.0,390.0,358.0,720.0,12952.0,504.0,884.0,319.0,611.0,502.0,269.0,439.0,1157.0,475.0,303.0,223.0,613.0,12868.0,412.0,744.0,226.0,516.0,0.235200017690658,0.734400033950805,0.302400022745132,0.302400022745132,0.302400022745132,0.417600005865097,0.302400022745132,0.480000019073486,0.172800004482269,0.302400022745132,0.782400012016296,0.705600023269653,0.196800008416175,0.700800061225891,0.38709676265716497,0.483870953321456,0.677419304847717,0.51612901687622,0.580645143985748,0.322580635547637,0.548387050628662,0.290322571992874,0.322580635547637,0.51612901687622,0.51612901687622,0.38709676265716497,0.38709676265716497,0.419354826211929,106.57142857142857,0.42411430712257076,0.4539170329059867
1169,116.0,102.0,75.0,55.0,60.0,52.0,43.0,61.0,64.0,89.0,53.0,106.0,65.0,78.0,1551.0,317.0,412.0,1602.0,613.0,2171.0,389.0,392.0,1173.0,660.0,1305.0,322.0,698.0,1435.0,215.0,337.0,1547.0,553.0,2119.0,346.0,331.0,1109.0,571.0,1252.0,216.0,633.0,0.019200000911951,0.0912000015377998,0.120000004768371,0.115200005471706,0.0912000015377998,0.0912000015377998,0.0912000015377998,0.096000000834465,0.096000000834465,0.201600015163421,0.10080000758171,0.072000004351139,0.096000000834465,0.163200005888938,0.161290317773818,0.25806450843811,0.322580635547637,0.225806444883346,0.290322571992874,0.25806450843811,0.225806444883346,0.225806444883346,0.225806444883346,0.354838699102401,0.25806450843811,0.25806450843811,0.322580635547637,0.419354826211929,72.78571428571429,0.10320000377084503,0.2718893928187229
226,103.0,118.0,94.0,89.0,116.0,100.0,127.0,149.0,124.0,104.0,95.0,103.0,92.0,100.0,208.0,180.0,178.0,382.0,445.0,147.0,1058.0,704.0,720.0,209.0,151.0,215.0,284.0,105.0,62.0,84.0,293.0,329.0,47.0,931.0,555.0,596.0,105.0,56.0,112.0,192.0,0.513600051403045,0.216000005602836,0.312000006437301,0.475200027227401,0.211200013756752,0.124800004065036,0.187200009822845,0.177600011229515,0.470400035381317,0.662400007247924,0.518400013446807,0.163200005888938,0.54720002412796,0.79200005531311,0.419354826211929,0.419354826211929,0.51612901687622,0.322580635547637,0.354838699102401,0.25806450843811,0.322580635547637,0.322580635547637,0.25806450843811,0.38709676265716497,0.38709676265716497,0.38709676265716497,0.354838699102401,0.38709676265716497,108.14285714285714,0.3836571622107705,0.36405528868947645
2637,114.0,109.0,100.0,83.0,87.0,86.0,87.0,89.0,100.0,85.0,61.0,132.0,92.0,76.0,591.0,459.0,1206.0,1462.0,818.0,647.0,567.0,687.0,927.0,671.0,862.0,426.0,555.0,477.0,350.0,1106.0,1379.0,731.0,561.0,480.0,598.0,827.0,586.0,801.0,294.0,463.0,0.0816000029444694,0.0912000015377998,0.105600006878376,0.235200017690658,0.0864000022411346,0.096000000834465,0.105600006878376,0.0816000029444694,0.096000000834465,0.120000004768371,0.0768000036478042,0.096000000834465,0.0816000029444694,0.0864000022411346,0.193548381328582,0.290322571992874,0.290322571992874,0.25806450843811,0.290322571992874,0.25806450843811,0.322580635547637,0.290322571992874,0.290322571992874,0.290322571992874,0.25806450843811,0.225806444883346,0.290322571992874,0.25806450843811,92.92857142857143,0.1028571469443184,0.2718893928187231
722,62.0,85.0,74.0,67.0,53.0,76.0,73.0,66.0,56.0,93.0,57.0,104.0,76.0,61.0,502.0,326.0,384.0,843.0,1689.0,569.0,1309.0,430.0,1008.0,458.0,541.0,303.0,557.0,440.0,241.0,310.0,776.0,1636.0,493.0,1236.0,364.0,952.0,365.0,484.0,199.0,481.0,0.216000005602836,0.105600006878376,0.124800004065036,0.278400003910064,0.163200005888938,0.0912000015377998,0.345600008964538,0.072000004351139,0.072000004351139,0.115200005471706,0.211200013756752,0.105600006878376,0.148800000548362,0.163200005888938,0.451612889766693,0.290322571992874,0.322580635547637,0.290322571992874,0.354838699102401,0.225806444883346,0.322580635547637,0.161290317773818,0.225806444883346,0.290322571992874,0.322580635547637,0.225806444883346,0.354838699102401,0.38709676265716497,71.64285714285714,0.1580571484352857,0.3018433089767178
2146,88.0,103.0,111.0,101.0,95.0,94.0,83.0,94.0,87.0,104.0,92.0,99.0,86.0,73.0,530.0,314.0,379.0,1084.0,973.0,1045.0,1633.0,592.0,253.0,231.0,289.0,284.0,758.0,442.0,211.0,268.0,983.0,878.0,951.0,1550.0,498.0,166.0,127.0,197.0,185.0,672.0,0.115200005471706,0.182400003075599,0.825600028038024,0.969600021839141,0.705600023269653,0.134400010108947,0.283200025558471,0.124800004065036,0.096000000834465,0.19200000166893,0.840000033378601,0.096000000834465,0.105600006878376,0.748800039291381,0.290322571992874,0.322580635547637,0.483870953321456,0.580645143985748,0.419354826211929,0.322580635547637,0.419354826211929,0.290322571992874,0.193548381328582,0.354838699102401,0.451612889766693,0.322580635547637,0.193548381328582,0.612903237342834,93.57142857142857,0.3870857288794854,0.375576027802058
854,61.0,89.0,82.0,80.0,81.0,49.0,99.0,79.0,84.0,73.0,86.0,70.0,73.0,52.0,424.0,376.0,631.0,563.0,465.0,399.0,444.0,382.0,460.0,465.0,618.0,287.0,482.0,363.0,287.0,549.0,483.0,384.0,350.0,345.0,303.0,376.0,392.0,532.0,217.0,409.0,0.10080000758171,0.0816000029444694,0.10080000758171,0.072000004351139,0.0816000029444694,0.0816000029444694,0.220800012350082,0.0864000022411346,0.0864000022411346,0.340800017118454,0.0768000036478042,0.0864000022411346,0.0768000036478042,0.0672000050544738,0.419354826211929,0.290322571992874,0.38709676265716497,0.25806450843811,0.25806450843811,0.225806444883346,0.935483813285827,0.290322571992874,0.290322571992874,0.354838699102401,0.25806450843811,0.25806450843811,0.25806450843811,0.225806444883346,75.57142857142857,0.11142857692071353,0.3364055177995133
1982,111.0,109.0,92.0,69.0,101.0,96.0,80.0,80.0,75.0,101.0,92.0,64.0,64.0,53.0,342.0,153.0,157.0,312.0,575.0,246.0,425.0,449.0,343.0,121.0,133.0,184.0,545.0,231.0,44.0,65.0,243.0,474.0,150.0,345.0,369.0,268.0,20.0,41.0,120.0,481.0,0.220800012350082,0.129600003361701,0.240000009536743,0.172800004482269,0.134400010108947,0.0912000015377998,0.302400022745132,0.110400006175041,0.316800028085708,0.249600008130073,0.43680003285408,0.168000012636184,0.211200013756752,0.10080000758171,0.322580635547637,0.25806450843811,0.51612901687622,0.290322571992874,0.25806450843811,0.225806444883346,0.548387050628662,0.193548381328582,0.290322571992874,0.483870953321456,0.419354826211929,0.25806450843811,0.419354826211929,0.290322571992874,84.78571428571429,0.2060571552387301,0.34101381259305097
2856,144.0,127.0,128.0,81.0,89.0,74.0,90.0,100.0,136.0,90.0,120.0,100.0,101.0,110.0,714.0,240.0,232.0,347.0,554.0,360.0,404.0,716.0,224.0,270.0,235.0,245.0,494.0,570.0,113.0,104.0,266.0,465.0,286.0,314.0,616.0,88.0,180.0,115.0,145.0,393.0,0.403200030326843,0.115200005471706,0.48480001091957,0.10080000758171,0.316800028085708,0.105600006878376,0.124800004065036,0.364800006151199,0.144000008702278,0.480000019073486,0.46560001373291,0.470400035381317,0.105600006878376,0.772800028324127,0.25806450843811,0.25806450843811,0.290322571992874,0.225806444883346,0.38709676265716497,0.290322571992874,0.25806450843811,0.225806444883346,0.322580635547637,0.290322571992874,0.225806444883346,0.25806450843811,0.25806450843811,0.354838699102401,106.42857142857143,0.3181714436837601,0.2788018350090295
677,92.0,64.0,73.0,48.0,70.0,65.0,62.0,71.0,67.0,90.0,73.0,72.0,46.0,50.0,640.0,291.0,686.0,2585.0,602.0,485.0,877.0,534.0,2870.0,594.0,771.0,245.0,570.0,548.0,227.0,613.0,2537.0,532.0,420.0,815.0,463.0,2803.0,504.0,698.0,173.0,524.0,0.124800004065036,0.182400003075599,0.134400010108947,0.312000006437301,0.144000008702278,0.124800004065036,0.148800000548362,0.124800004065036,0.124800004065036,0.124800004065036,0.134400010108947,0.144000008702278,0.158400014042854,0.158400014042854,0.290322571992874,0.322580635547637,0.25806450843811,0.290322571992874,0.25806450843811,0.290322571992874,0.354838699102401,0.25806450843811,0.25806450843811,0.290322571992874,0.322580635547637,0.290322571992874,0.322580635547637,0.322580635547637,67.35714285714286,0.1529142925781857,0.2949308667864114
88,100.0,128.0,104.0,86.0,114.0,98.0,98.0,88.0,93.0,107.0,74.0,93.0,46.0,79.0,828.0,318.0,233.0,330.0,562.0,188.0,611.0,497.0,539.0,174.0,105.0,260.0,403.0,728.0,190.0,129.0,244.0,448.0,90.0,513.0,409.0,446.0,67.0,31.0,167.0,357.0,0.211200013756752,0.096000000834465,0.422400027513504,0.153600007295608,0.0864000022411346,0.336000025272369,0.115200005471706,0.0912000015377998,0.254400014877319,0.489600032567977,0.268800020217895,0.105600006878376,0.302400022745132,0.321600019931793,0.38709676265716497,0.25806450843811,0.419354826211929,0.38709676265716497,0.290322571992874,0.354838699102401,0.322580635547637,0.225806444883346,0.290322571992874,0.419354826211929,0.25806450843811,0.290322571992874,0.225806444883346,0.38709676265716497,93.42857142857143,0.23245715722441648,0.3225806355476375
19,180.0,105.0,95.0,129.0,85.0,91.0,83.0,77.0,102.0,155.0,121.0,152.0,135.0,101.0,551.0,544.0,542.0,911.0,507.0,1073.0,1657.0,519.0,656.0,2128.0,416.0,330.0,549.0,371.0,439.0,447.0,782.0,422.0,982.0,1574.0,442.0,554.0,1973.0,295.0,178.0,414.0,0.513600051403045,0.54720002412796,0.739200055599212,0.916800022125244,0.182400003075599,0.096000000834465,0.244800016283988,0.0816000029444694,0.096000000834465,0.79200005531311,0.926400065422058,0.0816000029444694,0.129600003361701,0.902400016784668,0.354838699102401,0.322580635547637,0.51612901687622,0.741935491561889,0.38709676265716497,0.225806444883346,0.38709676265716497,0.225806444883346,0.225806444883346,0.483870953321456,0.419354826211929,0.225806444883346,0.25806450843811,0.51612901687622,115.07142857142857,0.446400022932461,0.3778801751988269
705,66.0,73.0,72.0,58.0,79.0,64.0,87.0,53.0,63.0,64.0,73.0,91.0,55.0,55.0,1912.0,299.0,445.0,718.0,493.0,323.0,537.0,330.0,674.0,457.0,494.0,346.0,858.0,1846.0,226.0,373.0,660.0,414.0,259.0,450.0,277.0,611.0,393.0,421.0,255.0,803.0,0.153600007295608,0.105600006878376,0.148800000548362,0.27360001206398,0.182400003075599,0.120000004768371,0.115200005471706,0.096000000834465,0.115200005471706,0.110400006175041,0.124800004065036,0.115200005471706,0.110400006175041,0.120000004768371,0.290322571992874,0.290322571992874,0.322580635547637,0.483870953321456,0.290322571992874,0.25806450843811,0.225806444883346,0.161290317773818,0.25806450843811,0.290322571992874,0.322580635547637,0.290322571992874,0.25806450843811,0.25806450843811,68.07142857142857,0.13508571950452627,0.285714277199336
1959,84.0,109.0,77.0,93.0,97.0,60.0,92.0,109.0,73.0,106.0,102.0,100.0,24.0,82.0,199.0,182.0,114.0,339.0,420.0,68.0,294.0,154.0,482.0,180.0,133.0,247.0,459.0,115.0,73.0,37.0,246.0,323.0,8.0,202.0,45.0,409.0,74.0,31.0,147.0,435.0,0.177600011229515,0.216000005602836,0.686400055885314,0.211200013756752,0.196800008416175,0.633600056171417,0.129600003361701,0.331200003623962,0.499200016260147,0.177600011229515,0.532800018787384,0.153600007295608,0.206400007009506,0.19200000166893,0.419354826211929,0.354838699102401,0.38709676265716497,0.38709676265716497,0.354838699102401,0.38709676265716497,0.290322571992874,0.419354826211929,0.354838699102401,0.354838699102401,0.322580635547637,0.322580635547637,0.322580635547637,0.38709676265716497,86.28571428571429,0.3102857300213402,0.3617511412927076
2238,44.0,92.0,84.0,74.0,69.0,84.0,60.0,42.0,63.0,67.0,63.0,65.0,56.0,49.0,13924.0,1327.0,635.0,23629.0,703.0,1263.0,830.0,672.0,1804.0,1257.0,563.0,304.0,746.0,13880.0,1235.0,551.0,23555.0,634.0,1179.0,770.0,630.0,1741.0,1190.0,500.0,239.0,690.0,0.110400006175041,0.172800004482269,0.619200050830841,0.451200008392334,0.475200027227401,0.144000008702278,0.211200013756752,0.153600007295608,0.139200001955032,0.177600011229515,0.19200000166893,0.182400003075599,0.148800000548362,0.168000012636184,0.225806444883346,0.38709676265716497,0.51612901687622,0.419354826211929,0.419354826211929,0.322580635547637,0.354838699102401,0.290322571992874,0.225806444883346,0.290322571992874,0.38709676265716497,0.38709676265716497,0.290322571992874,0.290322571992874,65.14285714285714,0.238971439855439,0.3433179621185571
2276,74.0,57.0,54.0,86.0,114.0,68.0,106.0,93.0,72.0,58.0,99.0,66.0,76.0,61.0,467.0,1270.0,363.0,1285.0,829.0,1107.0,591.0,951.0,1255.0,606.0,557.0,253.0,932.0,393.0,1213.0,309.0,1199.0,715.0,1039.0,485.0,858.0,1183.0,548.0,458.0,187.0,856.0,0.576000034809112,0.216000005602836,0.196800008416175,0.302400022745132,0.302400022745132,0.758400022983551,0.62880003452301,0.969600021839141,0.916800022125244,0.230400010943412,0.105600006878376,0.633600056171417,0.139200001955032,0.254400014877319,0.419354826211929,0.451612889766693,0.354838699102401,0.580645143985748,0.580645143985748,0.451612889766693,0.645161271095275,0.451612889766693,0.451612889766693,0.419354826211929,0.290322571992874,0.451612889766693,0.25806450843811,0.451612889766693,77.42857142857143,0.4450285919010636,0.44700459497315526
1793,91.0,47.0,56.0,89.0,108.0,75.0,80.0,63.0,66.0,64.0,91.0,82.0,72.0,52.0,265.0,226.0,214.0,448.0,746.0,606.0,629.0,462.0,482.0,280.0,229.0,233.0,461.0,174.0,179.0,158.0,359.0,638.0,531.0,549.0,399.0,416.0,216.0,138.0,151.0,389.0,0.0624000020325183,0.110400006175041,0.10080000758171,0.124800004065036,0.240000009536743,0.307200014591217,0.312000006437301,0.10080000758171,0.216000005602836,0.124800004065036,0.0912000015377998,0.096000000834465,0.124800004065036,0.115200005471706,0.129032254219055,0.322580635547637,0.290322571992874,0.354838699102401,0.225806444883346,0.225806444883346,0.25806450843811,0.225806444883346,0.290322571992874,0.322580635547637,0.25806450843811,0.193548381328582,0.290322571992874,0.290322571992874,74.0,0.15188571996986822,0.2626728032316476
1644,87.0,91.0,90.0,86.0,87.0,97.0,104.0,62.0,80.0,90.0,86.0,121.0,91.0,70.0,401.0,379.0,356.0,787.0,929.0,323.0,455.0,628.0,1838.0,344.0,505.0,228.0,1218.0,314.0,288.0,266.0,701.0,842.0,226.0,351.0,566.0,1758.0,254.0,419.0,107.0,1127.0,0.0672000050544738,0.0768000036478042,0.115200005471706,0.0768000036478042,0.096000000834465,0.0768000036478042,0.278400003910064,0.072000004351139,0.0816000029444694,0.096000000834465,0.0912000015377998,0.316800028085708,0.216000005602836,0.129600003361701,0.129032254219055,0.25806450843811,0.322580635547637,0.193548381328582,0.225806444883346,0.225806444883346,0.25806450843811,0.25806450843811,0.225806444883346,0.290322571992874,0.290322571992874,0.290322571992874,0.25806450843811,0.38709676265716497,88.71428571428571,0.12788571949515998,0.25806450843810996
